,User,Vehicle,MPG
0,jojofromkokomo,2018 Subaru Crosstrek,17 seconds ago
1,cyr3x,2005 Renault Clio,36.3 MPG
2,sparky2002,2003 Ford Focus,37.0 MPG
3,barrett_fodder,2014 Jeep Grand Cherokee,23.5 MPG
4,mgboyle,2014 BMW 750Li,13.3 MPG
5,nakalak,2014 Chevrolet Cruze,25.0 MPG
6,mugczar,2012 Scion iQ,32.4 MPG
7,dubreezy,2003 Chevrolet Suburban 1500,23.3 MPG
8,ezshift5,2017 Volkswagen Jetta,41.7 MPG
9,remus,2014 Honda Odyssey,21.1 MPG
10,malibuwagon,2013 Ford C-Max,39.5 MPG
11,ntron1,2018 Subaru WRX STI,18.5 MPG
12,gsctht,2019 Subaru Forester,27.6 MPG
13,mcler002,2017 Ford Fiesta,45.1 MPG
14,Spooner,2015 Ford Transit Connect,22.5 MPG
15,Siegle,2008 Mazda 3,20.5 MPG
16,craigwi,2002 Porsche 911,19.9 MPG
17,Chubbysumo,2010 GMC Savana 1500,17.4 MPG
18,alecjday,2010 Ford Ranger,15.7 MPG
19,chingro32,2015 Volkswagen GTI,26.2 MPG
20,tlak77,2018 Volkswagen Tiguan,29.8 MPG
21,MicsHauler,2019 Subaru Ascent,15.8 MPG
22,Mike_e_p,2013 Honda Civic,34.8 MPG
23,damir,2019 Mercedes-Benz C300D Coupe,43.5 MPG
24,rikkikagan,2012 Ford Escape,22.9 MPG
25,JGS93GT,2017 Dodge Charger,20.2 MPG
26,cornishtaz,2008 Vauxhall Astra,30.8 MPG
27,skyetg,2018 Subaru Crosstrek,26.4 MPG
28,pdxa4,2017 Jeep Wrangler,13.6 MPG
29,brian555,2016 Mazda CX-5,26.0 MPG
30,Nukes25,2016 Ram 1500,22.0 MPG
31,Jfsa82,2012 Toyota Prius V,47.5 MPG
32,3dogmom,2009 Honda CR-V,17.8 MPG
33,Aaron39,2007 Land Rover Discovery,21.1 MPG
34,1stAznBum,2017 Honda Civic,15 minutes ago
35,tinpusher,2016 Audi SQ5,24.9 MPG
36,chamois,2007 Honda Fit,45.2 MPG
37,tobykenobi,2018 Honda Pilot,21.9 MPG
38,EcoFit,2018 Volkswagen Golf SportWagen,35.5 MPG
39,mish92029,2019 BMW G310GS,68.9 MPG
40,mict450,2017 Toyota Tacoma,18.5 MPG
41,jemmons,2015 Toyota Tacoma,14.1 MPG
42,car_freak,2010 Toyota Matrix,34.4 MPG
43,Synthfreek,2006 Toyota Corolla,39.2 MPG
44,FordFree,2017 Chevrolet Impala,29.3 MPG
45,bakgat,2013 Piaggio X10,49.4 MPG
46,kalieaire,2012 Toyota Tacoma,15.1 MPG
47,ColoConservative,2016 Honda CR-V,23.1 MPG
48,mshurst,2014 Subaru XV Crosstrek,27.3 MPG
49,jkpne,2015 Jeep Wrangler,18.0 MPG
50,Raylance,2015 Mazda 6,34.0 MPG
51,IAMCIRE,2004 Volkswagen Jetta,33.9 MPG
52,alexp,2013 Toyota Prius,44.1 MPG
53,Docvoodoo,2012 Chevrolet Camaro,27.6 MPG
54,evalroy,2017 Kia Niro,51.7 MPG
55,berralac,2016 Subaru WRX,26.7 MPG
56,Stuka,2017 Jeep Wrangler,3 minutes ago
57,MansfieldJr,2012 Subaru Impreza,26.6 MPG
58,Diehard,2002 Ford Excursion,15.0 MPG
59,gacordell,2002 Toyota Highlander,19.6 MPG
60,craigmac215,2003 Toyota Camry,20.3 MPG
61,RedDoor,2007 Honda Civic,25.7 MPG
62,GrandCentral,2015 Buick Encore,26.2 MPG
63,bumpyhighway,2008 Honda CBF600,47.0 MPG
64,carlsonbw,2011 Toyota Camry,20.5 MPG
65,pandaR,2011 BMW M3,14.1 MPG
66,rlanning,2014 Ford Focus,38.3 MPG
67,Soylent,2010 Toyota Camry,28.0 MPG
68,mquinn01,2015 Toyota 4Runner,17.7 MPG
69,Lorenzo-Renegade,2016 Jeep Renegade,10.0 MPG
70,Deviyl,2012 Kia Soul,24.6 MPG
71,igpluseb,2016 Fiat 500X,31.9 MPG
72,wayne56,2019 Ford F-150,17.4 MPG
73,dustinculp,2006 BMW X5,18.6 MPG
74,Hibernate,2013 Acura ILX,27.5 MPG
75,FauxPo,2017 Toyota Tacoma,17.5 MPG
76,rileybracken,2015 Toyota Tacoma,18.3 MPG
77,grannygear,2018 Volkswagen GTI,31.8 MPG
78,robinadr,2012 Porsche 911,18.0 MPG
79,BigHog,2015 Toyota Prius C,51.0 MPG
80,martin678,2019 Nissan Pathfinder,14.8 MPG
81,tomschmitz,2009 Kawasaki KLR 650,43.2 MPG
82,danny_coggins,2015 GMC Sierra 1500,12.5 MPG
83,ADMead,2006 Mazda 3,28.8 MPG
84,mjgg999,2012 Toyota Tacoma,15.8 MPG
85,elatedone,2015 Honda Civic,50.2 MPG
86,VariantVT,2017 Volkswagen Golf SportWagen,28.4 MPG
87,tins4,2018 Mini Cooper Countryman,40.9 MPG
88,Vertebratelife,2013 Acura RDX,20.7 MPG
89,wje1992,2011 Ford Escape,28.6 MPG
90,joel27nc,2000 Ford Ranger,19.1 MPG
91,Tay9969,2002 Toyota Tacoma,13.4 MPG
92,Canoebuild,2018 Honda Accord,39.5 MPG
93,Chasedtoast,2005 Saab 9-2X,18.3 MPG
94,snowr0,2008 Toyota RAV4,32.4 MPG
95,Nomad32,2015 Volkswagen Touareg,22.4 MPG
96,bloodpuddle,2012 Skoda Octavia,23.1 MPG
97,kam327,2017 Mazda 6,30.1 MPG
98,JKofPA,2017 Toyota Tacoma,20.9 MPG
99,eggsbenedict,2005 Saab 9-2X,16.3 MPG
