User,Year,Make,Model,MPG
PressCorpse,2015,Jeep,Patriot,24
Faiz87,2004,Skoda,Fabia,39.4
Calbar,2016,Subaru,Legacy,25.5
orionmoo,2015,Audi,S3,29
iooi,2018,Kia,Picanto,36.1
aeromicke,2014,Volvo,XC70,30.7
bmetinCO,2017,Subaru,Outback,23.3
Rodger1951,2015,Ford,Explorer,18.9
mig8769,2019,Yamaha,MT-09,39
Karstgeo72,2018,Volkswagen,Golf,19.4
Will_Hallam,2010,Volkswagen,Polo,36.1
nightarmor13,2018,Nissan,Titan,14.6
mig8769,2014,Subaru,BRZ,28.3
fritz641,1984,Volkswagen,Vanagon,23.4
Youart,2007,Chrysler,300,14.1
archibald2,2016,Audi,SQ5,17.2
2014andahalfLE,2014,Toyota,Camry,41.8
firecadet613,2019,Ram,1500,12.1
wgmurray65,2006,Honda,CR-V,32.1
CaptIrk,2015,Subaru,Outback,21
AtlasFBG2,2013,Chevrolet,Impala,28.7
Cdyee,2017,Honda,Civic,34.4
Jim70,2013,Volvo,V70,35.2
rambalu80,2016,BMW,340i,20.8
imnuts,2014,Acura,RDX,17
JulianMorin,2018,Perodua,MyVi,17
svfd,2014,Ram,2500,17.4
Sp3ctre,2015,Seat,Leon,43.2
Redbaron57,2013,Benelli,TRE,42.7
allen5924,2009,BMW,325i,16.9
SleepySalz,2013,Subaru,XV,21.6
perskie,2008,Yamaha,TDM,53.8
jtpick,2001,Toyota,Avalon,22.2
Pikosan,2018,Yamaha,Tricity,86.4
rweagle,2016,Ford,Edge,15.6
superduty4x4,2008,Saturn,Outlook,19.2
fadzlyjb,2014,Mazda,6,32.6
Choco,2008,Mini,Cooper,27.3
floodedkiwi,2013,Toyota,Tacoma,26
bus,2016,Ford,Focus,29.8
bklwashere,2010,Honda,Ridgeline,15
Eudardo,1990,Volkswagen,Golf,50.5
gamegill,2017,Volkswagen,Golf,24.7
wgmurray65,2011,Ford,F-350,10.3
chozothewise,2006,Acura,TL,27.7
jacobsjulia29,2018,Honda,Pilot,23.7
afrugal1,2014,Toyota,Camry,28.1
ff4life4,2017,Toyota,Tundra,13.2
Doz,2014,Citroen,C1,42.2
gmctech,2008,Volkswagen,Jetta,20.3
kerzhul,1993,Honda,XL600V,37.6
Kisel17,2017,Ford,Escape,23.7
vdavul,2008,Honda,Odyssey,13.7
jdour,2011,Honda,Civic,27.5
legaldesign,2000,Subaru,Outback,17.2
tinkertt,2015,Honda,NC700X,74.1
shifter25,2005,Toyota,Corolla,22.8
CDNXCR,2016,Ram,1500,18.4
glaser06,2011,Chevrolet,Silverado,14.7
rool,2006,Perodua,MyVi,30.4
hnx676,2012,Toyota,Prius,39.4
Murrdawg02,1991,Nissan,Safari,17.4
Slvr5Spd,2018,Subaru,WRX,22.3
HavImpreza,2019,Volkswagen,Golf,20.9
SkooterG,2011,Toyota,Prius,53.5
micaudill,2006,Mazda,6,21.1
KingOtso,2018,Volkswagen,GTI,32.3
DanEdser,2007,Suzuki,Swift,28.2
Ausfahrt,2014,Subaru,XV,26.7
kilrb,2016,Jeep,Wrangler,15.8
rgb101,2018,Chevrolet,Silverado,16
westmichigansc,2005,Volkswagen,Jetta,41.8
lindalin0906,2018,Mazda,3,24
MattieF,2013,Ford,C-Max,40
apexjim,2016,Ford,F-150,17.2
simonsb,2014,Mazda,3,31.7
remus,2013,Ford,Escape,22.2
jamesbothwell,2002,Volkswagen,Golf,24.5
davesroka,2018,Chrysler,Pacifica,0
FlatPower,1999,Porsche,911,20.3
RodMonVil,2019,Seat,Leon,31.5
fbobberts,2017,Toyota,Corolla,27.8
MFMJ,2012,Peugeot,408,32.4
Trinis,2019,Mercedes-Benz,C300,24.2
bicentennialcadillac,1988,Oldsmobile,Custom,19
helodrvr,2013,Acura,MDX,14.9
Phaston,2003,Toyota,Corolla,30.7
webhed38,2013,Ford,F-150,16.8
AWolfe3,2015,Subaru,Outback,27
Andrew_howes,2012,Toyota,Tacoma,14
Chugo,2003,Chevrolet,Tahoe,16.1
midnightstar,2010,Acura,TSX,26.6
Abbren,2010,Toyota,Prius,47.7
sportsduck,2017,Chevrolet,Malibu,41.1
stallhorn,2018,Kawasaki,ZG1400,42.4
yensen,2016,Subaru,Outback,24.3
dpy102,2012,Honda,Pilot,18.5
helodrvr,2015,Nissan,Titan,26
SeizeHerSalad,2012,Volkswagen,GTI,32.9
ting,2014,Honda,Accord,25.7
