,User,Vehicle,MPG
0,clrtout,2012 Proton Preve,23.4 MPG
1,Sparky73,2016 Ram 1500,14.9 MPG
2,iamlost,2003 Audi A2,49.7 MPG
3,cherublue97,2019 Jeep Wranger Unlimited,14.0 MPG
4,tcronin01,2017 Mazda 3,31.1 MPG
5,adamjones,2015 Chevrolet Cruze,32.0 MPG
6,rize0909,2007 Toyota Corolla,35.6 MPG
7,maineford,2012 Ford Escape,19.8 MPG
8,Jontee,2013 Toyota FJ Cruiser,18.6 MPG
9,justintime,2017 Seat Leon,34.8 MPG
10,ckeeton,2011 Toyota Tacoma,16.7 MPG
11,coaldust,2016 Subaru Impreza,25.0 MPG
12,IsthisNametaken,1997 Chevrolet K1500,14.0 MPG
13,BlueBeastTDi,2018 Ram 1500,20.2 MPG
14,tat_lee,2016 Perodua Alza,28.8 MPG
15,robbob144,2017 Jaguar F-Type,17.3 MPG
16,abateman20,2016 Toyota RAV4,18.8 MPG
17,ColonelPanic,2013 Chevrolet Sonic,34.2 MPG
18,jamesbaer,2014 Chevrolet Impala,19.4 MPG
19,GreenbeanZ28,2018 John Deere Gator RSX 860M,16.9 MPG
20,mrjarrod,2005 Alfa Romeo 147,25.0 MPG
21,ArabianGoggle,2012 Honda Accord,25.6 MPG
22,Blommie,2011 Toyota Hilux,18.1 MPG
23,rroutzong,2018 Kia Niro,46.6 MPG
24,CTS618,2006 Honda Civic,26.7 MPG
25,carvwa,2014 BMW 328d xDrive,32.7 MPG
26,andersondiaz,2019 Honda CR-V,25.3 MPG
27,Quazacolt,2013 Toyota GT86,24.3 MPG
28,bruinjetta,2017 Subaru Outback,25.1 MPG
29,Yoss,2004 Peugeot 206,32.0 MPG
30,bigpat5123,2018 Chevrolet Tahoe,19.2 MPG
31,cellojoe,2011 Mitsubishi Outlander Sport,22.3 MPG
32,lskeddie,2016 Produa Bezza,33.3 MPG
33,oriley,2017 Mazda 3,20 minutes ago
34,amylou,2017 Subaru WRX STI,21.0 MPG
35,cwirth09,2013 Ford Edge,19.4 MPG
36,pavanbabut,2013 BMW R1200RT,41.1 MPG
37,3varojas,2017 Kia Sportage,27.9 MPG
38,bilbo,2014 Nissan Frontier,14.5 MPG
39,gaspo,2017 Honda CRF1000L Africa Twin ABS,48.8 MPG
40,atoe,2011 BMW Alpina ,23 minutes ago
41,Stebner,2001 Plymouth Neon,25.4 MPG
42,bimmerd,2009 BMW 335d,27.5 MPG
43,poweredbydiesel,2015 Subaru Outback,23.1 MPG
44,JPCamper,2017 Ram 3500,12.9 MPG
45,450rider,2014 Chevrolet Cruze,30.8 MPG
46,JPCamper,2007 Acura TSX,22.3 MPG
47,ScubaRob,2006 Ford F-250 Super Duty,9.6 MPG
48,Markj442,2017 Audi A4,51.3 MPG
49,Nighthawk,1977 Mercedes-Benz 300D,26.0 MPG
50,ucfmat,2014 Honda Civic,27.9 MPG
51,red64chevelle,2016 Land Rover Discovery Sport,21.8 MPG
52,Gambler72,2014 BMW 335i,17.0 MPG
53,OilManSam,2014 Toyota Tundra,12.7 MPG
54,Ryephile,2020 Moto Guzzi V85 TT,56.6 MPG
55,TurbineWagon,2006 Volvo V50,30.2 MPG
56,inspectorbutters,2014 Mazda 3,41.2 MPG
57,bradshaw46,2010 Mercedes-Benz E350,21.2 MPG
58,floodwaker,2013 Jeep Wrangler,13.6 MPG
59,EnJaNir,2017 Jeep Grand Cherokee,12.3 MPG
60,carlspeed,2008 Honda GL1800HPNA Gold Wing Audio/Comfort/Navi/ABS,29.0 MPG
61,sagedon,2011 Subaru Outback,27.1 MPG
62,clrtout,2012 Proton Preve,23.4 MPG
63,Sparky73,2016 Ram 1500,14.9 MPG
64,iamlost,2003 Audi A2,49.7 MPG
65,cherublue97,2019 Jeep Wranger Unlimited,14.0 MPG
66,tcronin01,2017 Mazda 3,31.1 MPG
67,adamjones,2015 Chevrolet Cruze,32.0 MPG
68,rize0909,2007 Toyota Corolla,35.6 MPG
69,maineford,2012 Ford Escape,19.8 MPG
70,Jontee,2013 Toyota FJ Cruiser,18.6 MPG
71,justintime,2017 Seat Leon,34.8 MPG
72,ckeeton,2011 Toyota Tacoma,16.7 MPG
73,coaldust,2016 Subaru Impreza,25.0 MPG
74,IsthisNametaken,1997 Chevrolet K1500,14.0 MPG
75,BlueBeastTDi,2018 Ram 1500,20.2 MPG
76,tat_lee,2016 Perodua Alza,28.8 MPG
77,robbob144,2017 Jaguar F-Type,17.3 MPG
78,abateman20,2016 Toyota RAV4,18.8 MPG
79,ColonelPanic,2013 Chevrolet Sonic,34.2 MPG
80,jamesbaer,2014 Chevrolet Impala,19.4 MPG
81,GreenbeanZ28,2018 John Deere Gator RSX 860M,16.9 MPG
82,mrjarrod,2005 Alfa Romeo 147,25.0 MPG
83,ArabianGoggle,2012 Honda Accord,25.6 MPG
84,Blommie,2011 Toyota Hilux,18.1 MPG
85,rroutzong,2018 Kia Niro,46.6 MPG
86,CTS618,2006 Honda Civic,26.7 MPG
87,carvwa,2014 BMW 328d xDrive,32.7 MPG
88,andersondiaz,2019 Honda CR-V,25.3 MPG
