,User,Year,Make,Model,MPG,
0,clrtout,2012,Proton,Preve,23.4,
1,Sparky73,2016,Ram,1500,14.9,
2,iamlost,2003,Audi,A2,49.7,
3,cherublue97,2019,Jeep,Wranger,14,
4,tcronin01,2017,Mazda,3,31.1,
5,adamjones,2015,Chevrolet,Cruze,32,
6,rize0909,2007,Toyota,Corolla,35.6,
7,maineford,2012,Ford,Escape,19.8,
8,Jontee,2013,Toyota,FJ,18.6,
9,justintime,2017,Seat,Leon,34.8,
10,ckeeton,2011,Toyota,Tacoma,16.7,
11,coaldust,2016,Subaru,Impreza,25,
12,IsthisNametaken,1997,Chevrolet,K1500,14,
13,BlueBeastTDi,2018,Ram,1500,20.2,
14,tat_lee,2016,Perodua,Alza,28.8,
15,robbob144,2017,Jaguar,F-Type,17.3,
16,abateman20,2016,Toyota,RAV4,18.8,
17,ColonelPanic,2013,Chevrolet,Sonic,34.2,
18,jamesbaer,2014,Chevrolet,Impala,19.4,
19,GreenbeanZ28,2018,John,Deere,16.9,
20,mrjarrod,2005,Alfa,Romeo,25,
21,ArabianGoggle,2012,Honda,Accord,25.6,
22,Blommie,2011,Toyota,Hilux,18.1,
23,rroutzong,2018,Kia,Niro,46.6,
24,CTS618,2006,Honda,Civic,26.7,
25,carvwa,2014,BMW,328d,32.7,
26,andersondiaz,2019,Honda,CR-V,25.3,
27,Quazacolt,2013,Toyota,GT86,24.3,
28,bruinjetta,2017,Subaru,Outback,25.1,
29,Yoss,2004,Peugeot,206,32,
30,bigpat5123,2018,Chevrolet,Tahoe,19.2,
31,cellojoe,2011,Mitsubishi,Outlander,22.3,
32,lskeddie,2016,Produa,Bezza,33.3,
33,oriley,2017,Mazda,3,20,ago
34,amylou,2017,Subaru,WRX,21,
35,cwirth09,2013,Ford,Edge,19.4,
36,pavanbabut,2013,BMW,R1200RT,41.1,
37,3varojas,2017,Kia,Sportage,27.9,
38,bilbo,2014,Nissan,Frontier,14.5,
39,gaspo,2017,Honda,CRF1000L,48.8,
40,atoe,2011,BMW,Alpina,23,ago
41,Stebner,2001,Plymouth,Neon,25.4,
42,bimmerd,2009,BMW,335d,27.5,
43,poweredbydiesel,2015,Subaru,Outback,23.1,
44,JPCamper,2017,Ram,3500,12.9,
45,450rider,2014,Chevrolet,Cruze,30.8,
46,JPCamper,2007,Acura,TSX,22.3,
47,ScubaRob,2006,Ford,F-250,9.6,
48,Markj442,2017,Audi,A4,51.3,
49,Nighthawk,1977,Mercedes-Benz,300D,26,
50,ucfmat,2014,Honda,Civic,27.9,
51,red64chevelle,2016,Land,Rover,21.8,
52,Gambler72,2014,BMW,335i,17,
53,OilManSam,2014,Toyota,Tundra,12.7,
54,Ryephile,2020,Moto,Guzzi,56.6,
55,TurbineWagon,2006,Volvo,V50,30.2,
56,inspectorbutters,2014,Mazda,3,41.2,
57,bradshaw46,2010,Mercedes-Benz,E350,21.2,
58,floodwaker,2013,Jeep,Wrangler,13.6,
59,EnJaNir,2017,Jeep,Grand,12.3,
60,carlspeed,2008,Honda,GL1800HPNA,29,
61,sagedon,2011,Subaru,Outback,27.1,
62,clrtout,2012,Proton,Preve,23.4,
63,Sparky73,2016,Ram,1500,14.9,
64,iamlost,2003,Audi,A2,49.7,
65,cherublue97,2019,Jeep,Wranger,14,
66,tcronin01,2017,Mazda,3,31.1,
67,adamjones,2015,Chevrolet,Cruze,32,
68,rize0909,2007,Toyota,Corolla,35.6,
69,maineford,2012,Ford,Escape,19.8,
70,Jontee,2013,Toyota,FJ,18.6,
71,justintime,2017,Seat,Leon,34.8,
72,ckeeton,2011,Toyota,Tacoma,16.7,
73,coaldust,2016,Subaru,Impreza,25,
74,IsthisNametaken,1997,Chevrolet,K1500,14,
75,BlueBeastTDi,2018,Ram,1500,20.2,
76,tat_lee,2016,Perodua,Alza,28.8,
77,robbob144,2017,Jaguar,F-Type,17.3,
78,abateman20,2016,Toyota,RAV4,18.8,
79,ColonelPanic,2013,Chevrolet,Sonic,34.2,
80,jamesbaer,2014,Chevrolet,Impala,19.4,
81,GreenbeanZ28,2018,John,Deere,16.9,
82,mrjarrod,2005,Alfa,Romeo,25,
83,ArabianGoggle,2012,Honda,Accord,25.6,
84,Blommie,2011,Toyota,Hilux,18.1,
85,rroutzong,2018,Kia,Niro,46.6,
86,CTS618,2006,Honda,Civic,26.7,
87,carvwa,2014,BMW,328d,32.7,
88,andersondiaz,2019,Honda,CR-V,25.3,
89,Quazacolt,2013,Toyota,GT86,24.3,
90,bruinjetta,2017,Subaru,Outback,25.1,
91,Yoss,2004,Peugeot,206,32,
92,bigpat5123,2018,Chevrolet,Tahoe,19.2,
93,cellojoe,2011,Mitsubishi,Outlander,22.3,
94,lskeddie,2016,Produa,Bezza,33.3,
95,oriley,2017,Mazda,3,23,ago
96,amylou,2017,Subaru,WRX,21,
97,cwirth09,2013,Ford,Edge,19.4,
98,pavanbabut,2013,BMW,R1200RT,41.1,
99,3varojas,2017,Kia,Sportage,27.9,
100,tomschmitz,2009,Kawasaki,KLR,50,
101,gyrfalcon,2005,Saab,3-Sep,28.2,
102,sclevine,2017,Toyota,Prius,57.5,
103,brmoore,2013,BMW,335d,28.2,
104,meusel,2008,Chrysler,Town,16.3,
105,cpayne5,2006,Acura,TSX,26.7,
106,avey,2015,Toyota,Sienna,16.3,
107,MICP2385,2012,Toyota,Tacoma,18.5,
108,Snailfarts,2018,Ford,Explorer,16,
109,ucfmat,2014,Honda,Civic,27.9,
110,red64chevelle,2016,Land,Rover,21.8,
111,Gambler72,2014,BMW,335i,17,
112,OilManSam,2014,Toyota,Tundra,12.7,
113,Ryephile,2020,Moto,Guzzi,56.6,
114,TurbineWagon,2006,Volvo,V50,30.2,
115,inspectorbutters,2014,Mazda,3,41.2,
116,bradshaw46,2010,Mercedes-Benz,E350,21.2,
117,floodwaker,2013,Jeep,Wrangler,13.6,
118,EnJaNir,2017,Jeep,Grand,12.3,
119,carlspeed,2008,Honda,GL1800HPNA,29,
120,sagedon,2011,Subaru,Outback,27.1,
121,clrtout,2012,Proton,Preve,23.4,
122,Sparky73,2016,Ram,1500,14.9,
123,iamlost,2003,Audi,A2,49.7,
124,cherublue97,2019,Jeep,Wranger,14,
125,tcronin01,2017,Mazda,3,31.1,
126,adamjones,2015,Chevrolet,Cruze,32,
127,rize0909,2007,Toyota,Corolla,35.6,
128,maineford,2012,Ford,Escape,19.8,
129,Jontee,2013,Toyota,FJ,18.6,
130,justintime,2017,Seat,Leon,34.8,
131,ckeeton,2011,Toyota,Tacoma,16.7,
132,coaldust,2016,Subaru,Impreza,25,
133,IsthisNametaken,1997,Chevrolet,K1500,14,
134,BlueBeastTDi,2018,Ram,1500,20.2,
135,tat_lee,2016,Perodua,Alza,28.8,
136,robbob144,2017,Jaguar,F-Type,17.3,
137,abateman20,2016,Toyota,RAV4,18.8,
138,ColonelPanic,2013,Chevrolet,Sonic,34.2,
139,jamesbaer,2014,Chevrolet,Impala,19.4,
140,GreenbeanZ28,2018,John,Deere,16.9,
141,mrjarrod,2005,Alfa,Romeo,25,
142,ArabianGoggle,2012,Honda,Accord,25.6,
143,Blommie,2011,Toyota,Hilux,18.1,
144,rroutzong,2018,Kia,Niro,46.6,
145,CTS618,2006,Honda,Civic,26.7,
146,carvwa,2014,BMW,328d,32.7,
147,andersondiaz,2019,Honda,CR-V,25.3,
148,Quazacolt,2013,Toyota,GT86,24.3,
149,bruinjetta,2017,Subaru,Outback,25.1,
150,vonsecond,2019,GMC,Sierra,16,
151,Ducati2v,2008,Jeep,Wrangler,10.4,
152,jrc34219,2019,Toyota,Camry,29.3,
153,JFischer,2017,Dodge,Grand,19.6,
154,misterflegg,2010,Fiat,Panda,41.1,
155,jalong79,2016,GMC,Canyon,24.1,
156,tomschmitz,2009,Kawasaki,KLR,50,
157,gyrfalcon,2005,Saab,3-Sep,28.2,
158,sclevine,2017,Toyota,Prius,57.5,
159,brmoore,2013,BMW,335d,28.2,
160,meusel,2008,Chrysler,Town,16.3,
161,cpayne5,2006,Acura,TSX,26.7,
162,avey,2015,Toyota,Sienna,16.3,
163,MICP2385,2012,Toyota,Tacoma,18.5,
164,Snailfarts,2018,Ford,Explorer,16,
165,ucfmat,2014,Honda,Civic,27.9,
166,red64chevelle,2016,Land,Rover,21.8,
167,Gambler72,2014,BMW,335i,17,
168,OilManSam,2014,Toyota,Tundra,12.7,
169,Ryephile,2020,Moto,Guzzi,56.6,
170,TurbineWagon,2006,Volvo,V50,30.2,
171,inspectorbutters,2014,Mazda,3,41.2,
172,bradshaw46,2010,Mercedes-Benz,E350,21.2,
173,floodwaker,2013,Jeep,Wrangler,13.6,
174,EnJaNir,2017,Jeep,Grand,12.3,
175,carlspeed,2008,Honda,GL1800HPNA,29,
