,User,Vehicle,MPG
0,SubieChris,2006 Subaru Forester,16.8 MPG
1,melgrim,2001 Peugeot 306,35.4 MPG
2,red48,2013 Honda Fit,32.5 MPG
3,Gamestern269,1988 Toyota Pickup,15.6 MPG
4,Alingarde,2005 Subaru Forester,2 minutes ago
5,tjmielke,2019 Volkswagen Jetta,28.7 MPG
6,JhonnyD,2019 Ford Transit-150,13.8 MPG
7,ADMead,2005 Honda Odyssey,23.1 MPG
8,mcler002,2017 Ford Fiesta,45.9 MPG
9,Weels,2015 Honda Civic,34.4 MPG
10,pearlywhite,2018 Subaru Crosstrek,27.7 MPG
11,radtdi,2015 Mazda 6,26.7 MPG
12,16SZR,1998 Opel Astra,31.4 MPG
13,xchen,2010 Nissan Altima,32.5 MPG
14,Usmct63,2013 Chevrolet Tahoe,12.9 MPG
15,Nissanaddicted,2018 Nissan Pathfinder,22.3 MPG
16,Chippy01,2019 Toyota Corolla,45.7 MPG
17,zonk,2015 Volkswagen Golf,42.9 MPG
18,Vuldge,2008 Honda Ridgeline,14.3 MPG
19,jersey42,2015 Jeep Grand Cherokee,17.8 MPG
20,charrito,2016 Chevrolet Silverado 1500,14.4 MPG
21,schweetie3,2019 Toyota Corolla,11 minutes ago
22,esnave09,2013 Audi Q7,24.6 MPG
23,Ricksta,2019 Volkswagen Amarok,26.0 MPG
24,Shaugi,2015 Vauxhall Corsa,38.0 MPG
25,Faronth,2011 Chevrolet Silverado 2500 HD,14.3 MPG
26,a420storm,2016 Honda Accord,29.4 MPG
27,Llrx,2014 Chevrolet Silverado 2500 HD,15 minutes ago
28,mjshultz,2014 Ram 1500,11.5 MPG
29,Almants,2013 Audi A6 Quattro,17 minutes ago
30,deanpt85,2004 Audi A4 Quattro,35.3 MPG
31,16fordescape,2016 Ford Escape,21.0 MPG
32,Afsax,2019 Subaru Forester,29.0 MPG
33,astroinhouston,2015 Subaru Outback,17.5 MPG
34,Mpower0254,1985 BMW 535i,23.3 MPG
35,dbmyers,2019 Subaru Crosstrek,36.2 MPG
36,haineroid,2015 Ford F-350 Super Duty,8.9 MPG
37,cv640pilot,2016 Volvo XC90,20.8 MPG
38,hoofbeats95,2017 Mazda CX-5,27.7 MPG
39,hawkdriver25,2012 Chevrolet Volt,57.2 MPG
40,mbumpus11,2015 Toyota 4Runner,15.4 MPG
41,ltrichardson,2017 Ford Focus,22.6 MPG
42,vikstk,2016 Volkswagen Golf SportWagen,30.0 MPG
43,matt-arsenault,2017 Subaru Crosstrek,22.1 MPG
44,CruisnCobra,2016 Ford Flex,21.4 MPG
45,bmetinCO,2017 Subaru Outback,24.4 MPG
46,westbiels,2017 GMC Sierra 1500,17.2 MPG
47,Chuckle,2018 Hyundai Ioniq,70.4 MPG
48,davemoore99,2014 Toyota Tundra,13.5 MPG
49,NsWelsh,2016 Ford Fiesta,51.9 MPG
