Year,Make,Model,Class,Fuel Type,City MPG (FT1),Highway MPG (FT1),Unadjusted City MPG (FT1),Unadjusted Highway MPG (FT1),Annual Fuel Cost (FT1)
2010,Acura,MDX 4WD,Sport Utility Vehicle - 4WD,Premium,16,21,19.8,28.7,2350
2010,Acura,RDX 2WD,Sport Utility Vehicle - 2WD,Premium,19,24,23.6,34.4,2000
2010,Acura,RDX 4WD,Sport Utility Vehicle - 4WD,Premium,17,22,22.4,31.9,2250
2010,Acura,RL,Midsize Cars,Premium,16,22,20,30.9,2350
2010,Acura,TL 2WD,Midsize Cars,Premium,18,26,22.6,36.8,2000
2010,Acura,TL 4WD,Midsize Cars,Premium,17,25,21.2,34.3,2100
2010,Acura,TL 4WD,Midsize Cars,Premium,17,25,21.9,34.4,2100
2010,Acura,TSX,Compact Cars,Premium,21,30,27.1,42.3,1700
2010,Acura,TSX,Compact Cars,Premium,18,27,23.2,37.6,2000
2010,Acura,TSX,Compact Cars,Premium,20,28,24.9,39.3,1850
2010,Acura,ZDX 4WD,Sport Utility Vehicle - 4WD,Premium,16,23,20.6,31.6,2250
2010,Aston Martin,DB9,Minicompact Cars,Premium,13,20,16.1311,27.2408,2800
2010,Aston Martin,DB9,Minicompact Cars,Premium,11,17,13.7715,23.6523,3250
2010,Aston Martin,DBS,Minicompact Cars,Premium,12,18,14.4084,24.6983,3000
2010,Aston Martin,DBS,Minicompact Cars,Premium,11,17,13.7271,22.9258,3250
2010,Aston Martin,Rapide,Subcompact Cars,Premium,13,19,15.6348,26.6208,2800
2010,Aston Martin,V8 Vantage,Two Seaters,Premium,14,20,16.9502,28.0198,2650
2010,Aston Martin,V8 Vantage,Two Seaters,Premium,12,19,15.0065,25.6094,3000
2010,Audi,A3,Small Station Wagons,Premium,22,28,27.0473,38.8702,1750
2010,Audi,A3,Small Station Wagons,Premium,21,30,25.2906,40.4003,1750
2010,Audi,A3 quattro,Small Station Wagons,Premium,21,28,27.2,37.1,1750
2010,Audi,A4,Compact Cars,Premium,23,30,29.2373,42.7743,1650
2010,Audi,A4 Avant quattro,Small Station Wagons,Premium,21,27,25.9563,37.7989,1850
2010,Audi,A4 quattro,Compact Cars,Premium,21,27,25.9563,37.7989,1850
2010,Audi,A4 quattro,Compact Cars,Premium,22,30,27.6402,42.575,1700
2010,Audi,A5 Cabriolet,Subcompact Cars,Premium,23,30,29.2373,42.7743,1650
2010,Audi,A5 Cabriolet quattro,Subcompact Cars,Premium,20,26,25.9,37,1850
2010,Audi,A5 quattro,Subcompact Cars,Premium,21,27,25.9563,37.7989,1850
2010,Audi,A5 quattro,Subcompact Cars,Premium,18,27,22.6,36.2,2000
2010,Audi,A5 quattro,Subcompact Cars,Premium,22,30,27.6402,42.575,1700
2010,Audi,A6,Midsize Cars,Premium,18,28,23,38.9,1900
2010,Audi,A6 Avant quattro,Midsize Station Wagons,Premium,18,26,21.7553,34.7286,2000
2010,Audi,A6 quattro,Midsize Cars,Premium,16,23,19.8911,31.5002,2350
2010,Audi,A6 quattro,Midsize Cars,Premium,18,26,21.7553,34.7286,2000
2010,Audi,A8,Midsize Cars,Premium,16,23,19.8911,31.5002,2350
2010,Audi,A8 L,Large Cars,Premium,16,23,19.8911,31.5002,2350
2010,Audi,Q5,Sport Utility Vehicle - 4WD,Premium,18,23,22.7,30.7,2100
2010,Audi,Q7,Sport Utility Vehicle - 4WD,Premium,13,18,16.2,24.6,2800
2010,Audi,Q7,Sport Utility Vehicle - 4WD,Premium,14,19,17.1502,26.1066,2650
2010,Audi,R8,Two Seaters,Premium,13,20,15.8,24.8,2650
2010,Audi,R8,Two Seaters,Premium,13,18,15.4,25.0451,2800
2010,Audi,R8,Two Seaters,Premium,12,20,13.7,23.9,2800
2010,Audi,R8,Two Seaters,Premium,12,19,15.3,26.8,2800
2010,Audi,S4,Compact Cars,Premium,18,28,21.6,35,2000
2010,Audi,S4,Compact Cars,Premium,18,27,21.5,34.1,2000
2010,Audi,S5,Subcompact Cars,Premium,16,24,20.4,31,2250
2010,Audi,S5,Subcompact Cars,Premium,14,22,17.3,29.3,2500
2010,Audi,S5 Cabriolet,Subcompact Cars,Premium,17,26,20.3,34,2100
2010,Audi,S6,Midsize Cars,Premium,14,19,17.2,26.7,2650
2010,Audi,TT Coupe quattro,Subcompact Cars,Premium,21,29,27.5267,39.7256,1750
2010,Audi,TT Roadster quattro,Two Seaters,Premium,21,29,27.5267,39.7256,1750
2010,Bentley,Azure,Compact Cars,Premium,9,15,11.5068,21.006,3850
2010,Bentley,Brooklands,Compact Cars,Premium,9,15,11.5068,21.006,3850
2010,Bentley,Continental Flying Spur,Midsize Cars,Premium,10,17,12.5281,23.2715,3500
2010,Bentley,Continental GT,Compact Cars,Premium,10,17,12.8,23.8,3250
2010,Bentley,Continental GTC,Subcompact Cars,Premium,10,17,12.5281,23.2715,3500
2010,Bentley,Continental Supersports,Two Seaters,Premium,12,19,14.4,24.4,3000
2010,BMW,128ci Convertible,Subcompact Cars,Premium,18,27,22.5958,38.1696,2000
2010,BMW,128ci Convertible,Subcompact Cars,Premium,18,28,22.7853,38.7896,1900
2010,BMW,128i,Subcompact Cars,Premium,18,28,23.1565,39.7103,1900
2010,BMW,128i,Subcompact Cars,Premium,18,28,22.7853,38.7896,1900
2010,BMW,135i,Subcompact Cars,Premium,18,25,22,35.5,2100
2010,BMW,135i,Subcompact Cars,Premium,18,25,22.0566,35.2678,2100
2010,BMW,135i Convertible,Subcompact Cars,Premium,17,26,21.6229,36.1548,2100
2010,BMW,135i Convertible,Subcompact Cars,Premium,17,26,21.6278,35.7081,2100
2010,BMW,328ci,Subcompact Cars,Premium,18,28,23.1565,39.7103,1900
2010,BMW,328ci,Subcompact Cars,Premium,18,28,22.7853,38.7896,1900
