,User,Year,Make,Model,MPG
0,classicsuby,2004,Saab,9-5 ,22.4 MPG
1,aguilarassasin,2019,Chevrolet,Silverado 1500 ,18.7 MPG
2,mystix,2017,Honda,CR-V ,24.3 MPG
3,namichael,2017,Jeep,Renegade ,27.1 MPG
4,sioux,2012,Toyota,Tacoma ,13.2 MPG
5,MelchiorRSA,2011,Triumph,Tiger 1050 ABS ,39.7 MPG
6,leontangwc,2012,Toyota,Vellfire ,23.0 MPG
7,markbra2010,2008,Yamaha,YBR 125 ,89.2 MPG
8,mgwdew,2012,Seat,Ibiza ,48.4 MPG
9,r6emperor,2018,Volkswagen,Golf Alltrack ,31.5 MPG
10,iamfob,2012,Honda,Insight ,43.4 MPG
11,bromarc,2007,Jeep,Grand Cherokee ,23.1 MPG
12,dowdydl,2020,Toyota,Tundra ,16.2 MPG
13,69franx,2018,Ford,F-150 ,18.3 MPG
14,OwenMc,2015,Seat,Leon ,39.4 MPG
15,thomasa,1982,Mercedes-Benz,300TD ,23.4 MPG
16,dunthank,2013,Hyundai,Elantra ,31.8 MPG
17,SystemJim,2014,Mazda,CX-5 ,26.8 MPG
18,buggerthat,1993,Mercedes-Benz,190E ,22.0 MPG
19,Bhickey21,2017,Jeep,Grand Cherokee ,21.3 MPG
20,lscrx,2020,Lexus,RX350 ,21.6 MPG
21,minicoop,2016,Audi,Q5 ,16.7 MPG
22,1093brown,2017,Hyundai,Tucson ,35.2 MPG
23,stilela,2017,Cadillac,XT5 ,27.3 MPG
24,abc,2013,Volkswagen,Jetta Sportwagen ,42.3 MPG
25,bfaucett,2015,Chevrolet,Silverado 2500 HD ,13.5 MPG
26,Rindt,2002,Audi,A4 ,15.6 MPG
27,Keeef,1974,Austin,Maxi ,15.0 MPG
28,AtesFamily,2005,Ford,F-150 ,16.0 MPG
29,EchoJarvis,2012,Nissan,Pathfinder ,15.0 MPG
30,ARPatriot,2016,Kia,Forte5 ,32.5 MPG
31,echo03,2016,Honda,Fit ,39.3 MPG
32,martidiehl,2013,Honda,CR-V ,25.5 MPG
33,imsecond,2008,Honda,Fit ,35.7 MPG
34,zeimet50,1999,Dodge,Ram 1500 Van ,14.1 MPG
35,campisi,2013,Nissan,Xterra ,19.2 MPG
36,belrix,2017,Honda,CRF1000L Africa Twin ,49.4 MPG
37,Coryf1989,2003,Volkswagen,Jetta ,32.6 MPG
38,csjonsin,2017,Volkswagen,Golf Alltrack ,28.4 MPG
39,FLSouthPaw,2012,Kia,Soul ,24.4 MPG
40,TimboSV,2013,Daelim,S3 Advance 250 ,85.5 MPG
41,reegz,2012,Volkswagen,GTI ,25.9 MPG
42,Gingersnap86,2012,Ram,1500 ,11.7 MPG
43,josefallas27,2017,Yamaha,MT-07 ,56.5 MPG
44,Hillelec,2018,Ram,2500 ,9.4 MPG
45,vtec2200,2008,Nissan,Pathfinder ,15.7 MPG
46,brodyfrompa,2013,Suzuki,TU250X ,59.8 MPG
47,macbot2000,2005,Nissan,Titan ,10.9 MPG
48,yawnson,2015,Mercedes-Benz,Sprinter 3500 ,43 minutes ago
49,Jim40,2017,Mitsubishi,Triton ,23.9 MPG
