User,Year,Raw,Make,Model,MPG
CivicBob,2013,Ford C-Max,Ford,C-Max,35.9
imlzzvq,2006,Toyota Sienna,Toyota,Sienna,15.1
rowdyred94,2015,Audi A3 Quattro,Audi,A3 Quattro,24.4
exit333,2016,Honda HR-V,Honda,HR-V,28.4
gonzob,2007,Moto Guzzi Breva 750,Moto,Guzzi Breva 750,54
snyderro,2009,Toyota Camry,Toyota,Camry,27.1
gefinley,1999,Subaru Legacy,Subaru,Legacy,26.1
ajwhited71,2019,Indian Scout,Indian,Scout,39.4
daisybear,2016,Subaru Crosstrek,Subaru,Crosstrek,24.8
JMGentile,2019,Nissan Frontier,Nissan,Frontier,15.1
Harden,2017,Mini Cooper,Mini,Cooper,33.8
samytoutou,2012,Ford Escape,Ford,Escape,19.6
Darin,2011,BMW 335d,BMW,335d,23.8
Dustenabell,1999,Ford Ranger,Ford,Ranger,15.5
orange57,2000,Chevrolet Tahoe,Chevrolet,Tahoe,14.5
scottyo,2016,Ford Fusion,Ford,Fusion,37.6
BlueMonteSS,1995,Alfa Romeo 164,Alfa,Romeo 164,15.9
ridebaja,2005,Acura TL,Acura,TL,31.3
gcruse54,2018,Nissan Titan,Nissan,Titan,14
TheDeafGuy,2003,Chevrolet S10,Chevrolet,S10,23.1
694doorbird,2006,Dodge Charger,Dodge,Charger,18.4
jericho730,2018,Chevrolet Silverado 2500 HD,Chevrolet,Silverado 2500 HD,9.6
tfdcapt,2016,GMC Sierra 1500,GMC,Sierra 1500,17
maskedferret,2012,Mazda MX-5 Miata,Mazda,MX-5 Miata,26.5
Faylinameir,2015,Chevrolet Sonic,Chevrolet,Sonic,21.9
darryld13,2003,Honda Accord,Honda,Accord,26.8
Belgarion115,2002,Audi TT Quattro,Audi,TT Quattro,26.4
jstephens,2014,Honda Civic,Honda,Civic,30.5
DanParker,2015,Nissan Frontier,Nissan,Frontier,16.5
kingpiko,2014,Chevrolet Cruze,Chevrolet,Cruze,28.7
MrMischief,2019,Jeep Wrangler,Jeep,Wrangler,20.5
captbob,2011,Chevrolet Camaro,Chevrolet,Camaro,22.4
JEStroz,1998,Toyota 4Runner,Toyota,4Runner,10.7
kuanhon,2015,Honda City,Honda,City,32.3
caml224,2010,Toyota Corolla,Toyota,Corolla,31.7
MrPremium,2016,Ford Focus,Ford,Focus,20.5
Niro,2015,Subaru WRX STI,Subaru,WRX STI,18.5
ack210,2015,Toyota RAV4,Toyota,RAV4,26.3
xliderider,2014,Toyota Corolla,Toyota,Corolla,37.7
fitzbear,1980,Volkswagen Dasher,Volkswagen,Dasher,48
mjl04010,2015,Toyota Corolla,Toyota,Corolla,34.3
mirth,2014,Toyota Prius V,Toyota,Prius V,38.2
Leprechaun93,2018,Chevrolet Camaro,Chevrolet,Camaro,17.6
alexmeeres,2018,Kia Niro,Kia,Niro,38.2
Wendal,2010,Honda VFR1200F,Honda,VFR1200F,34.6
Leprechaun93,2008,Buick LaCrosse,Buick,LaCrosse,18.5
S6025TAWD,2015,Chrysler 200,Chrysler,200,27.7
clayton4115,2010,Toyota Camry,Toyota,Camry,38
ronrca,2019,Mini Cooper,Mini,Cooper,36.6
smacdaniel,2017,Nissan Rogue,Nissan,Rogue,23.4
